Biotsiidi kaubanduslik nimetus;Toimeaine;CAS nr.;Biotsiidi tooteliik;Biotsiidi registreerimistunnistuse kehtivuse aeg;Biotsiidi registreerimistunnistuse omanik;Toimeaine sisaldus;Märkused
SANYTOL DESINFITSEERIV GEEL KÄTELE;Etanool;64-17-5;Tooteliik 1;31.12.2024;Grupo AC Marca;0,72;Tavatarbija ja kutsealaseks kasutamiseks
parmetol® BPX;"1) 2-fenoksüetanool; 2) 2-butüül-benso[d]isotiasool-3- oon; 3) N-(3-aminopropüül)-N-dodetsüülpropaan-1,3-diamiin";"1) 122-99-6; 2) 4299-07-4; 3) 2372-82-9";Tooteliik 6, 13;31.12.2024;"Schülke & Mayr GmbH; Alates 15.11.2019; Vink Chemicals GmbH&Co. KG";"1) 98,5 g/100g; 2) 1,0 g/100g; 3) 0,46 g/100g; Alates 15.11.2019; 1) 985 g/kg; 2) 10 g/kg; 3) 5 g/kg";Kutsealaseks ja tööstuslikuks kasutamiseks
parmetol® SBX;"1) 1,2-bensisotiasool-3(2H)-oon; 2) N-(3-aminopropüül)-N-dodetsüülpropaan-1,3-diamiin ; 3) Püridiin-2-tiool-1-oksiidi naatriumisool (naatriumpüritioon)";"1) 2634-33-5; 2) 2372-82-9; 3) 3811-73-2";Tooteliik 6;31.12.2024;"Schülke & Mayr GmbH; Alates 15.11.2019; Vink Chemicals GmbH&Co. KG";"1) 4,8 g/100g; 2) 2,7 g/100g; 3) 1,0 g/100g; Alates 15.11.2019; 1) 47,6 g/kg; 2) 30 g/kg; 3) 10 g/kg";Kutsealaseks ja tööstuslikuks kasutamiseks
Antibacterial surface cleaner;Didetsüüldimetüülammooniumkloriid;7173-51-5;Tooteliik 2;31.12.2024;Hygiene of Sweden ÅB;0,495 g/l;Kutsealaseks kasutamiseks
Incimaxx DES-N;"1) Peräädikhape; 2) Peroksüoktaanhape";"1) 79-21-0; 2) 33734-57-5";Tooteliik 3;31.12.2024;Ecolab sp. z o.o.;"1) 2,4 g/100g; 2) 0,2 g/100g";Kutsealaseks kasutamiseks
BROS Sipelgapulber III;"1) Permetriin ; 2) Geraniool";"1) 52645-53-1; 2) 106-24-1";Tooteliik 18;31.12.2024;BROS Sp. z o.o. Sp.k.;"1) 0,5 g/100g; 2) 0,001 g/100g";"Tavatarbija kasutamiseks; 1) Komisjoni rakendusmäärus (EL) nr 1090/2014"
Velvidine;"1) Jood; 2) L(+)-piimhape";"1) 7553-56-2; 2) 79-33-4";Tooteliik 3;1.05.2019;"Kilco (International) Ltd; Alates 01.04.2019; HYPRED SAS";"1) 0,29%; 2) 1%";"Kutsealaseks kasutamiseks; 1) Komisjoni rakendusmäärus (EL) nr 94/2014; 2) Komisjoni rakendusmäärus (EL) 2017/2002"
DEPTIL APM;Peräädikhape;79-21-0;Tooteliik 2, 4;1.10.2020;HYPRED SAS;1,2 g/100g;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2016/672"
DEPTIL PA 5;Peräädikhape;79-21-0;Tooteliik 2, 4;1.10.2020;HYPRED SAS;5 g/100g;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2016/672"
Bochemit Bluestop M;"1) C12–16-alküüldimetüülbensüülammooniumkloriid ; 2) α-[2-(didetsüülmetüülammonio)etüül]-ω- hüdroksüpolü(oksü-1,2-etaandiüül)propanaat (sool); 3) IPBC; 4) Propikonasool; 5) N-(3-aminopropüül)-N-dodetsüülpropaan-1,3-diamiin";"1) 68424-85-1; 2) 94667-33-1; 3) 55406-53-6; 4) 60207-90-1 ; 5) 2372-82-9";Tooteliik 8;31.12.2024;BOCHEMIE a.s;"1) 100 g/kg (10%); 2) 55 g/kg (5,5%); 3) 19,5 g/kg (1,95%); 4) 5 g/kg (0,5%); 5) 1 g/kg (0,1%)";"Kutsealaseks kasutamiseks; 1) Komisjoni direktiiv 2013/7/EL; 2) Komisjoni rakendusmäärus (EL) 2016/1093; 3) Komisjoni direktiiv 2008/79/EÜ; 4) Komisjoni direktiiv 2008/78/EÜ"
Domestos Universaalne Antibakteriaalne puhastussprei;Naatriumhüpoklorit;7681-52–9;Tooteliik 2;1.01.2022;Unilever Polska Sp. z o.o.;0,52 g/100g;"Tavatarbija kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1273"
APESIN MULTI QUICK&EASY;Didetsüüldimetüülammooniumkloriid;7173-51-5;Tooteliik 2;31.12.2024;Tana-Chemie GmbH;2,45 g/100g;Kutsealaseks kasutamiseks
APESIN KITCHEN QUICK&EASY;Didetsüüldimetüülammooniumkloriid;7173-51-5;Tooteliik 4;31.12.2024;Tana-Chemie GmbH;2,45 g/100g;Kutsealaseks kasutamiseks
Incimaxx T;"1) Didetsüüldimetüülammooniumkloriid; 2) Glutaaraldehüüd; 3) C12–16-alküüldimetüülbensüülammooniumkloriid";"1) 7173-51-5; 2) 111-30-8; 3) 68424-85-1";Tooteliik 3;31.12.2024;Ecolab sp. z o.o.;"1) 50 g/kg; 2) 98 g/kg; 3) 50 g/kg";"Kutsealaseks kasutamiseks; 2) Komisjoni rakendusmäärus (EL) 2015/1759"
Chemisept Gel;"1) Etanool; 2) Propaan-2-ool / isopropanool";"1) 64-17-5; 1) 67-63-0";Tooteliik 1;31.12.2024;Chemi-Pharm AS;"1) 72,5 g/100g; 2) 7,5 g/100g";"Tavatarbija ja kutsealaseks kasutamiseks; 2) Komisjoni rakendusmäärus (EL) 2015/407"
Chemisept Med;"1) Etanool; 2) Propaan-2-ool / isopropanool";"1) 64-17-5; 1) 67-63-0";Tooteliik 1;31.12.2024;Chemi-Pharm AS;"1) 72,5 g/100g; 2) 7,5 g/100g";"Tavatarbija ja kutsealaseks kasutamiseks; 2) Komisjoni rakendusmäärus (EL) 2015/407"
MozziWatch;"1) Eucalyptus citriodora õli, hüdreeritud, tsükliline ; 2) Piparmündiõli; 3) Lavendliõli";"1) 1245629-80-4; 2) 8006-90-4; 3) 8000-28-0";Tooteliik 19;31.12.2024;ExtraWize OÜ;"1) 9 g/100g; 2) 0,9 g/100g; 3) 0,9 g/100g";Tavatarbija kasutamiseks
Lely Meteor Care Spray EU;"1) C12–16-alküüldimetüülbensüülammooniumkloriid; 2) Glutaraal";"1) 68424-85-1; 2) 111-30-8";Tooteliik 3;31.12.2024;Lely Consumables B.V.;"1) 1,65 g/100g; 2) 6,5 g/100g";"Kutsealaseks kasutamiseks; 2) Komisjoni rakendusmäärus (EL) 2015/1759 (TL 2, 3, 4, 6, 11 ja 12)"
PEROXIDE CLEAN;"1) Vesinikperoksiid; 2) Hõbenitraat";"1) 7722-84-1; 2) 7761-88-8";Tooteliik 2, 3, 4, 5;31.12.2024;Interchemie Werken De Adelaar Eesti AS;"1) 49,5%; 2) 0,045%";"Kutsealaseks kasutamiseks; 1) Komisjoni rakendusmäärus (EL) 2015/1730 (TL 1, 2, 3, 4, 5 ja 6)"
Epicare DES;propaan-1-ool;71-23-8;Tooteliik 1;1.05.2022;Ecolab sp. z o.o.;700 g/kg;"Kutsealaseks ja tööstuslikuks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/2001"
DIPTRON;"1) Etofenprox; 2) PBO";"1) 80844-07-1; 2) 51-03-6";Tooteliik 18;1.07.2021;QUIMICA DE MUNGUIA, S.A;"1) 100 g/kg; 2) 200 g/kg";"Kutsealaseks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; 1) Komisjoni rakendusmäärus (EL) nr 1036/2013; 2) Komisjoni rakendusmäärus (EL) nr 2016/2288"
"AROX FUMISECT – Mosquito plug-in vaporizer + liquid ; AROX FUMISECT – Liquid refill for mosquito plug-in vaporizer; AROX FUMISECT – elektrifumigaator + sääsetõrjevedelik ; AROX FUMISECT – täitevedelik elektrifumigaatorile";Pralletriin;23031-36-9;Tooteliik 18;31.12.2024;AGRECOL Sp. z o.o.;10,3 g/kg (1,03%);Tavatarbija kasutamiseks
AROX SPRAY;"1) d-tetrametriin; 2) 1R- trans-fenotriin";"1) 1166-46–7; 2) 26046-85-5";Tooteliik 18;31.12.2024;AGRECOL Sp. z o.o.;"1) 0,15 g/100g; 2) 0,15 g/100g";Tavatarbija kasutamiseks
Troysan BCM Powder;Karbendasiim;10605-21-7;"Tooteliik 7, 9; Alates 22.10.2019; Tooteliik 7";31.12.2024;Troy Chemical Company BV;1;"Kutsealaseks kasutamiseks; Tooteliigis 9 kasutamise mitte heakskiitmise komisjoni rakendusotsus (EL) 2019/1942"
Lerasept® Spezial;Peräädikhape;79-21-0;Tooteliik 2, 3, 4;1.10.2020;STOCKMEIER Chemie GmbH & Co. KG;0,049;"Kutsealaseks kasutamiseks; Liidu loa taotlus"
EXTRA;Naatriumhüpokloritist vabanenud aktiivkloor;7681-52–9;Tooteliik 4;1.01.2022;DeLaval NV;0,048;"Kutsealaseks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; Komisjoni rakendusmäärus (EL) 2017/1273"
LactiFence +;"1) L(+)-piimhape; 2) Salitsüülhape";"1) 79-33-4; 2) 69-72-7";Tooteliik 3;31.12.2024;DeLaval NV;"1) 3%; 2) 0,2%";"Kutsealaseks kasutamiseks; 1) Komisjoni rakendusmäärus (EL) 2017/2002"
NOVODIP;"1) D-glükoonhappe ja N, N″ -bis (4-klorofenüül)-3,12-diimino- 2,4,11,13-tetraasatetradekaandiamidiini ühend (2:1) (CHDG); 2) L(+)-piimhape";"1) 18472-51-0; 2) 79-33-4";Tooteliik 3;31.12.2024;"Kilco (International) Ltd; Alates 01.04.2019; HYPRED SAS";"1) 0,27%; 2) 4%";"Kutsealaseks kasutamiseks; 2) Komisjoni rakendusmäärus (EL) 2017/2002"
NOVODUAL;"1) D-glükoonhappe ja N, N″ -bis (4-klorofenüül)-3,12-diimino- 2,4,11,13-tetraasatetradekaandiamidiini ühend (2:1) (CHDG); 2) L(+)-piimhape";"1) 18472-51-0; 2) 79-33-4";Tooteliik 3;31.12.2024;"Kilco (International) Ltd; Alates 01.04.2019; HYPRED SAS";"1) 0,27%; 2) 4%";"Kutsealaseks kasutamiseks; 2) Komisjoni rakendusmäärus (EL) 2017/2002"
Nordkalk CL 90-Q;Kaltsiumoksiidi (kustutamata lubi);1305-78-8;Tooteliik 2, 3;1.05.2021;Nordkalk AS;>=80%;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/2002"
SEAJET 028 Dragon (Black, White, Platinum Gray, Dark Gray, Bright Red, Navy Blue, Mid Blue);"1) Tsinkpüritioon ; 2) Tralopüriil;";"1) 13463-41-7; 2) 122454-29-9";Tooteliik 21;31.12.2024;Chugoku Paints. B.V.;"1) 32 g/kg; 2) 20 g/kg";"Tavatarbijale kasutamiseks; 2) (Komisjoni rakendusmäärus (EL) nr 1091/2014"
SEAJET 038 Taisho (Black, White, Volvo Dark Gray, Bright Red, Navy Blue, Mid Blue);"1) Tsinkpüritioon ; 2) Tralopüriil;";"1) 13463-41-7; 2) 122454-29-9";Tooteliik 21;31.12.2024;Chugoku Paints. B.V.;"1) 70 g/kg; 2) 39 g/kg";"Tavatarbijale kasutamiseks; 2) (Komisjoni rakendusmäärus (EL) nr 1091/2014"
DeLaval Alkali 1+;Naatriumdikloroisotsüanuraat-dihüdraat;51580-86-0;Tooteliik 4;31.12.2024;DeLaval NV;68 g/kg;Kutsealaseks kasutamiseks
KLOORLUBI;Kaltsiumhüpoklorit (Kaltsiumhüpokloritist vabanenud aktiivkloor);7778-54-3;Tooteliik 2, 3, 4, 5, 11;31.12.2024;Ingle AS;26,2-32,3%;"Kutsealaseks ja tööstuslikuks kasutamiseks; Komisjoni rakendusmäärus (EL) 2017/1274 (TL 2, 3, 4, 5)"
"Kiilto Hypo Dip; Alates 28.12.2018; Kiilto Hypo Dip; Kiilto Hypo-Dip Plus";Naatriumhüpokloritist vabanenud aktiivkloor;7681-52–9;Tooteliik 4;1.01.2022;KiiltoClean OY;0,1;"Kutsealaseks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; Komisjoni rakendusmäärus (EL) 2017/1273"
LiquidSense Sanitizer;"1) C12-16-alküüldimetüülbensüülammooniumkloriid; 2) N-(3-aminopropüül)-N-dodetsüülpropaan-1,3-diamiin";"1) 68424-85-1; 2) 2372-82-9";Tooteliik 2, 4;31.12.2024;KAY BVBA;"1) 7,5 g/100g; 2) 4,0 g/100g";Kutsealaseks ja tööstuslikuks kasutamiseks
ACTICIDE® ICB 1;"1) 1,2-bensisotiasool-3(2H)-oon; 2) Tsinkpüritioon";"1) 2634-33-5; 2) 13463-41-7";Tooteliik 6;31.12.2024;"Thor Specialities (UK) Limited; Alates 25.10.2019; THOR Specialities (UK) Ltd Filial;";"1) 75 g/kg; 2) 25 g/kg";Tööstuslikuks kasutamiseks
SEAFLO NEO CF Z (RED/LIGHT RED);"1) Tsinkpüritioon ; 2) Tralopüriil;";"1) 13463-41-7; 2) 122454-29-9";Tooteliik 21;31.12.2024;Chugoku Paints. B.V.;"1) 80 g/kg; 2) 30 g/kg";"Kutsealaseks kasutamiseks; 1) (Komisjoni rakendusmäärus (EL) nr 1091/2014"
"SEAJET 034 Emperor (black, volvo penta dark grey, volvo penta grey, bright red, mint green, green, navy blue, mid blue);; SEAJET 035 Hard Racing (black, navy blue);; Sea-line ALUPLUS Selfpolishing Antifouling (black, volvo penta dark grey, volvo penta grey, bright red, mint green, green, navy blue, mid blue)";"1) Tsinkpüritioon; 2) Vasktiotsüanaat";"1) 13463-41-7; 2) 1111-67-7";Tooteliik 21;31.12.2024;Chugoku Paints. B.V.;"1) 30 g/kg; 2) 300 g/kg";"Tavatarbija kasutamiseks; 1) (Komisjoni rakendusmäärus (EL) nr 1091/2014"
"Seajet 034 Emperor White;; Seajet 035 Hard Racing White;; Sea-line ALUPLUS Selfpolishing Antifouling White";"1) Tsinkpüritioon; 2) Vasktiotsüanaat";"1) 13463-41-7; 2) 1111-67-7";Tooteliik 21;31.12.2024;Chugoku Paints. B.V.;"1) 28 g/kg; 2) 227 g/kg";"Tavatarbija kasutamiseks; 1) (Komisjoni rakendusmäärus (EL) nr 1091/2014"
PREVEN'S PARIS LINGETTES ANTISEPTIQUES PARFUM PAMPLEMOUSSE MENTHE;"1) Etanool; 2) D-glükoonhappe ja N, N″ -bis (4-klorofenüül)-3,12-diimino- 2,4,11,13-tetraasatetradekaandiamidiini ühend (2:1) (CHDG); 3) C12–14-alküüldimetüülbensüülammooniumkloriid (ADBAC (C12–14))";"1) 64-17-5; 2) 18472-51-0; 3) 85409-22-9";Tooteliik 1;31.12.2024;Laboratoires Prodene Klint - a Gojo Family;"1) 48 g/kg; 2) 1,2 g/kg; 3) 3 g/kg";"Tavatarbija kasutamiseks;"
PREVEN'S PARIS LINGETTES ANTISEPTIQUES PARFUM GRENADE;"1) Etanool; 2) D-glükoonhappe ja N, N″ -bis (4-klorofenüül)-3,12-diimino- 2,4,11,13-tetraasatetradekaandiamidiini ühend (2:1) (CHDG); 3) C12–14-alküüldimetüülbensüülammooniumkloriid (ADBAC (C12–14))";"1) 64-17-5; 2) 18472-51-0; 3) 85409-22-9";Tooteliik 1;31.12.2024;Laboratoires Prodene Klint - a Gojo Family;"1) 48 g/kg; 2) 1,2 g/kg; 3) 3 g/kg";Tavatarbija kasutamiseks
PREVEN'S PARIS LINGETTES ANTISEPTIQUES PARFUM THE VERT;"1) Etanool; 2) D-glükoonhappe ja N, N″ -bis (4-klorofenüül)-3,12-diimino- 2,4,11,13-tetraasatetradekaandiamidiini ühend (2:1) (CHDG); 3) C12–14-alküüldimetüülbensüülammooniumkloriid (ADBAC (C12–14))";"1) 64-17-5; 2) 18472-51-0; 3) 85409-22-9";Tooteliik 1;31.12.2024;Laboratoires Prodene Klint - a Gojo Family;"1) 48 g/kg; 2) 1,2 g/kg; 3) 3 g/kg";Tavatarbija kasutamiseks
EFFECT MICROTECH CS;"1) Permetriin; 2) Tetrametriin; 3) Piperonüülbutoksiid / PBO";"1) 52645-53-1; 2) 7696-12-0; 3) 51-03-6";Tooteliik 18;31.12.2024;Unichem, d.o.o.;"1) 8%; 2) 4%; 3) 8%";Tavatarbija ja kutsealaseks kasutamiseks
EFFECT ULTIMUM;"1) Permetriin; 2) Tetrametriin; 3) Piperonüülbutoksiid / PBO";"1) 52645-53-1; 2) 7696-12-0; 3) 51-03-6";Tooteliik 18;31.12.2024;Unichem, d.o.o.;"1) 6% (60 g/l); 2) 1% (10 g/l); 3) 18% (180 g/l)";Tavatarbija ja kutsealaseks kasutamiseks
AseptoSupra;Naatriumhüpokloritist vabanenud aktiivkloor;7681-52–9;Tooteliik 4;1.01.2022;Ecolab sp. z o.o.;83 g/kg;"Kutsealaseks ja tööstuslikuks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1273"
Valiant Foam Ultra + Valiant Catalyst D;"1) Kloordioksiid saadud naatriumkloritist happe lisamisel, lähteaine: Valiant Catalyst D (naatriumklorit) ; 2) L-(+)-piimhape";"1) 10049-04-4; 2) 79-33-4";Tooteliik 3;31.12.2024;Ecolab sp. z o.o.;"Segatud tootes:; 1) 0,038 g/100g; 2) 3,4 g/100g";"Kutsealaseks ja tööstuslikuks kasutamiseks; 2) Komisjoni rakendusmäärus (EL) 2017/2002"
grotanol® FF 1 N;"1) 1,2-bensisotiasool-3(2H)-oon (BIT); 2) N-(3-aminopropüül)-N-dodetsüülpropaan-1,3-diamiin; 3) Püridiin-2-tiool-1-oksiidi naatriumisool (naatriumpüritioon)";"1) 2634-33-5; 2) 2372-82-9; 3) 3811-73-2";Tooteliik 2, 13;31.12.2024;"Schülke & Mayr GmbH; Alates 15.11.2019; Vink Chemicals GmbH&Co. KG";"1) 1,5 g/100g; 2) 0,82 g/100g; 3) 0,24 g/100g; Alates 15.11.2019; 1) 15,47 g/kg; 2) 9 g/kg; 3) 2,4 g/kg";"Kutsealaseks ja tööstuslikuks kasutamiseks;"
LPK® TOILET SEAT DISINFECTING FOAM;"1) Etanool; 2) D-glükoonhappe ja N, N″ -bis (4-klorofenüül)-3,12-diimino- 2,4,11,13-tetraasatetradekaandiamidiini ühend (2:1) (CHDG); 3) C12–14-alküüldimetüülbensüülammooniumkloriid (ADBAC (C12–14))";"1) 64-17-5; 2) 18472-51-0; 3) 85409-22-9";Tooteliik 2;31.12.2024;Laboratoires Prodene Klint - a Gojo Family;"1) 48 mg/g; 2) 1,2 mg/g; 3) 3 mg/g";Kutsealaseks kasutamiseks
LPK® TOILET SEAT DISINFECTING WIPES;"1) Etanool; 2) D-glükoonhappe ja N, N″ -bis (4-klorofenüül)-3,12-diimino- 2,4,11,13-tetraasatetradekaandiamidiini ühend (2:1) (CHDG); 3) C12–14-alküüldimetüülbensüülammooniumkloriid (ADBAC (C12–14))";"1) 64-17-5; 2) 18472-51-0; 3) 85409-22-9";Tooteliik 2;31.12.2024;Laboratoires Prodene Klint - a Gojo Family;"1) 48 mg/g; 2) 1,2 mg/g; 3) 3 mg/g";Kutsealaseks kasutamiseks
SANIPURE;"1) Etanool; 2) D-glükoonhappe ja N, N″ -bis (4-klorofenüül)-3,12-diimino- 2,4,11,13-tetraasatetradekaandiamidiini ühend (2:1) (CHDG); 3) C12–14-alküüldimetüülbensüülammooniumkloriid (ADBAC (C12–14))";"1) 64-17-5; 2) 18472-51-0; 3) 85409-22-9";Tooteliik 2;31.12.2024;Laboratoires Prodene Klint - a Gojo Family;"1) 48 mg/g; 2) 1,2 mg/g; 3) 3 mg/g";Kutsealaseks kasutamiseks
LUBISAN;Naatriumtosüülklooramiid (kloramiin T);127-65-1;Tooteliik 3;31.12.2024;Brandez Sp. Z o.o.;0,25 g/100g (0,25%);Kutsealaseks kasutamiseks
BROS Koitõrjekuulid II;"1) Metoflutriin; 2) Geraniool";"1) 240494-71-7; 2) 106-24-1";Tooteliik 18;31.12.2024;BROS Sp. z o.o. Sp.k.;"1) 20 g/kg; 2) 10 g/kg";"Tavatarbija kasutamiseks; 1) Komishomi direktiiv 2010/71/EL"
BROS Koitõrjeplaat;"1) Metoflutriin; 2) Geraniool";"1) 240494-71-7; 2) 106-24-1";Tooteliik 18;31.12.2024;BROS Sp. z o.o. Sp.k.;"1) 20 g/kg; 2) 10 g/kg";"Tavatarbija kasutamiseks; 1) Komishomi direktiiv 2010/71/EL"
BROS Sääsetõrjepihusti lastele II;"1) etüülbutüülatsetüülamino-propionaat (IR3535); 2) geraniool";"1) 52304-36-6; 2) 106-24-1";Tooteliik 19;31.12.2024;BROS Sp. z o.o. Sp.k.;"1) 100 g/kg; 2) 0,05 g/kg";"Tavatarbija kasutamiseks; 1) KOMISJONI RAKENDUSMÄÄRUS (EL) nr 406/2014"
MEDISEPT-SKIN;"1) Propaan-2-ool; 2) C12-16-alküüldimetüülbensüülammooniumkloriid";"1) 67-63-0; 2) 68424-85-1";Tooteliik 1;31.12.2024;Higėja;"1) 30%; 2) 0,1%";"Kutsealaseks kasutamiseks; 1) Komisjoni rakendusmäärus (EL) 2015/407"
Prima Plus;"1) Salitsüülhape; 2) Vesinikperoksiid";"1) 69-72-7; 2) 7722-84-1";Tooteliik 3;31.12.2024;DeLaval NV;"1) 0,2%; 2) 0,91%";"Kutsealaseks kasutamiseks; 2) Komisjoni rakendusmäärus (EL) 2015/1730"
GOJO MILD ANTIMICROBIAL FOAM HANDWASH;"1) D-glükoonhappe ja N, N″ -bis (4-klorofenüül)-3,12-diimino- 2,4,11,13-tetraasatetradekaandiamidiini ühend (2:1) (CHDG) ; 2) Didetsüüldimetüülammooniumkloriid (DDAG)";"1) 18472-51-0; 2) 7173-51-5";Tooteliik 1;31.12.2024;Laboratoires Prodene Klint - a Gojo Family;"1) 0,90 %; 2) 0,65 %";Kutsealaseks kasutamiseks
GOJO MILD ANTIMICROBIAL LOTION HANDWASH;"1) D-glükoonhappe ja N, N″ -bis (4-klorofenüül)-3,12-diimino- 2,4,11,13-tetraasatetradekaandiamidiini ühend (2:1) (CHDG) ; 2) Didetsüüldimetüülammooniumkloriid (DDAG)";"1) 18472-51-0; 2) 7173-51-5";Tooteliik 1;31.12.2024;Laboratoires Prodene Klint - a Gojo Family;"1) 0,90 %; 2) 0,65 %";Kutsealaseks kasutamiseks
SEPTIGEL V+;Etanool;64-17-5;Tooteliik 1;31.12.2024;Laboratoires Prodene Klint - a Gojo Family;800 g/kg;Kutsealaseks kasutamiseks
Oxypak S / P3-oxypak S;Vesinikperoksiid;7722-84-1;Tooteliik 4;1.02.2020;Ecolab sp. z o.o.;350 g/kg;"Kutsealaseks ja tööstuslikuks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2015/1730"
"BROS Elektriline sääsetõrjevahend + tabletid II; BROS Elektrilise sääsetõrjevahendi tabletid II";"1) Pralletriin; 2) Piperonüülbutoksiid";"1) 23031-36-9; 2) 51-03-6";Tooteliik 18;31.12.2024;BROS Sp. z o.o. Sp.k.;"1) 9 mg/tableti kohta (9 g/100g); 2) 18 mg/tableti kohta (18 g/100g)";Tavatarbija kasutamiseks
"BROS Elektriline sääsetõrjevahend + vedelik; BROS Elektrilise sääsetõrjevahendi vedelik";Pralletriin;23031-36-9;Tooteliik 18;31.12.2024;BROS Sp. z o.o. Sp.k.;1,034 g/100g;Tavatarbija kasutamiseks
Vanish Oxi Action Extra Hygiene;"Peräädikhape (valmistatud in situ); Lähteained: Dinaatriumkarbonaadi ja vesinikperoksiidi ühend (2:3) (CAS nr 15630-89-4) ning; TAED (CAS nr 10543-57-4)";79-21-0;Tooteliik 2;1.01.2022;SIA Reckitt Benckiser Latvia;3,07g/100g;"Tavatarbija kasutamiseks; Taotlus vastastikuseks tunnustamiseks; Komisjoni rakendusmäärus (EL) 2017/1276"
Cillit Bang Mould and Difficult Dirt;Naatriumhüpoklorit;7681-52-9;Tooteliik 2;1.01.2022;SIA Reckitt Benckiser Latvia;2,19 g/100 g;"Tavatarbija kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1273"
Cillit Bang Whitening and Hygienic Cleanliness;Naatriumhüpoklorit;7681-52-9;Tooteliik 2;1.01.2022;SIA Reckitt Benckiser Latvia;2,19 g/100 g;"Tavatarbija kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1273"
Vinkocide DBNPA 20;2,2-dibromo-2-tsüanoatseetamiid (DBNPA);10222-01-2;Tooteliik 6, 11, 12, 13;31.12.2024;Vink Chemicals GmbH &Co, KG;200 g/100g;Kutsealaseks ja tööstuslikuks kasutamiseks
P3-manodes LI;Propaan-1-ool;71-23-8;Tooteliik 1;1.05.2022;Ecolab sp. z o.o.;70 g/100g;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/2001"
neomoscan TE 350;Naatriumhüpokloritist vabanenud aktiivkloor / Naatriumhüpoklorit;7681-52-9;Tooteliik 4;1.01.2022;Chemische Fabrik Dr. Weigert GmbH & Co. KG;2,5 g/100g;"Kutsealaseks ja tööstuslikuks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1273"
neomoscan TE-S 150;Naatriumhüpokloritist vabanenud aktiivkloor / Naatriumhüpoklorit;7681-52-9;Tooteliik 4;1.01.2022;Chemische Fabrik Dr. Weigert GmbH & Co. KG;2,5 g/100g;"Kutsealaseks ja tööstuslikuks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1273"
Ajax WC POWER;L(+)-piimhape;79-33-4;Tooteliik 2;1.05.2022;Colgate-Palmolive Poland Sp. Z.o.o.;3,2 g/100g;"Tavatarbija; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/2002"
Biosperse™ 3001 MICROBIOCIDE;Naatriumhüpokloritist vabanenud aktiivkloor / Naatriumhüpoklorit;7681-52-9;Tooteliik 2, 4, 5, 11, 12;31.12.2024;Solenis Netherlands BV;125-180 g/kg;"Kutsealaseks kasutamiseks; Komisjoni rakendusmäärus (EL) 2017/1273 (TL 1, 2, 3, 4, 5)"
Bioquell HPV-AQ;Vesinikperoksiid;7722-84-1;Tooteliik 2, 3, 4;1.02.2020;InBio OÜ;35 g/100g;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2015/1730 (TL 1, 2, 3, 4, 5, 6)"
TASKI Sani 4 in 1 Plus Spray;L(+)-piimhape;79-33-4;Tooteliik 2;1.05.2022;Diversey Polska Sp. z.o.o.;0,00352;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/2002"
"Ajax Pure Home spray Sage&Elderflower; Ajax Pure Home spray Sage&Apple Blossom";L(+)-piimhape;79-33-4;Tooteliik 2, 4;1.05.2022;Colgate-Palmolive Poland Sp. Z.o.o.;3,2 g/100g;"Tavatarbija kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/2002"
"Domestos Ultra Foam Ocean; Domestos Ultra Foam Artic";Naatriumhüpokloritist vabanenud aktiivkloor / Naatriumhüpoklorit;7681-52-9;Tooteliik 2;1.01.2022;Unilever Polska Sp.z.o.o.;3 g/100g;"Tavatarbija kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1273"
DESINTEC MelkClean A;Naatriumhüpokloritist vabanenud aktiivkloor / Naatriumhüpoklorit;7681-52-9;Tooteliik 4;1.01.2022;Ecolab sp. z o.o.;6,2 g/100 g;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1273"
